ensembl	log2FC
ENSG00000143333.7	-4.08825579267204
ENSG00000287808.2	-1.07777562205629
ENSG00000116698.22	-0.762844195063253
ENSG00000143344.16	-1.75783827599693
ENSG00000289581.1	-4.42069746043355
ENSG00000230470.1	-3.82761237165289
ENSG00000232036.2	-6.29256347638578
ENSG00000121481.12	-1.25878114210218
ENSG00000116668.13	-0.996650705591509
ENSG00000238061.2	-1.74847420919267
ENSG00000308328.1	-5.8729431238492
ENSG00000116679.17	-1.12988144480866
ENSG00000116741.8	-2.78863071999813
ENSG00000238754.1	-3.8268882556914
ENSG00000134371.15	-1.05387367401755
ENSG00000221680.1	-2.41540011475594
ENSG00000177888.8	-0.624762549671132
ENSG00000213047.13	-1.28832170443294
ENSG00000207139.1	-5.64132671556854
ENSG00000233040.2	-2.8307358044434
ENSG00000229989.7	-1.75338398786634
ENSG00000162702.8	-1.75339715236461
ENSG00000118197.14	-2.10275968032688
ENSG00000118200.16	-1.31932951960338
ENSG00000163362.11	-1.30298495179739
ENSG00000118194.22	-2.17214372237684
ENSG00000159166.15	-0.651828466068861
ENSG00000282221.2	-2.78994844234554
ENSG00000159176.14	-0.697211552668899
ENSG00000231871.5	-1.94555327544183
ENSG00000277681.1	-2.74476195536717
ENSG00000234678.3	-1.66362379669137
ENSG00000163435.16	-0.606183881219367
ENSG00000249007.1	-2.68586552088918
ENSG00000143862.8	-1.02708573364146
ENSG00000077152.12	-0.788135060955525
ENSG00000117139.18	-0.776696231410597
ENSG00000183155.5	-0.644431924488101
ENSG00000199471.1	-2.32908067762063
ENSG00000299041.1	-3.66305227727241
ENSG00000257315.4	-2.64900356624952
ENSG00000058673.17	-1.01650795863868
ENSG00000143842.15	-1.86120537548434
ENSG00000226330.2	-1.85203707974639
ENSG00000288934.3	-1.47578930593027
ENSG00000133056.14	-1.03939990329027
ENSG00000198625.15	-1.1142085096498
ENSG00000163545.11	-3.01766492443708
ENSG00000158711.14	-0.633585151762747
ENSG00000286619.1	-0.905661470865048
ENSG00000263528.8	-1.13595140513668
ENSG00000234981.1	-1.66408611640028
ENSG00000143486.16	-0.862772507112534
ENSG00000182795.13	-1.2094013118917
ENSG00000123843.13	-1.2001769417409
ENSG00000203709.15	-2.16358368853012
ENSG00000234219.1	-1.87966439291883
ENSG00000283876.1	-5.17468406799172
ENSG00000117597.18	-1.60716460133527
ENSG00000203706.10	-1.49662671392348
ENSG00000082497.12	-1.10454653777481
ENSG00000297328.1	-2.00914130750575
ENSG00000117625.14	-1.8129843732349
ENSG00000082512.15	-1.32003703755807
ENSG00000170385.10	-1.67992647859393
ENSG00000295023.1	-5.42938707473264
ENSG00000241395.3	-5.39315429869994
ENSG00000143493.13	-1.44835682487725
ENSG00000143476.18	-0.991456097847257
ENSG00000230063.1	-1.60781531322478
ENSG00000201544.1	-3.86955075174375
ENSG00000229832.1	-2.14065142353902
ENSG00000287445.2	-2.41984689869802
ENSG00000198468.12	-1.37676836513999
ENSG00000174606.14	-1.03893426441691
ENSG00000136643.12	-1.7840858359874
ENSG00000143499.14	-1.37874737338432
ENSG00000213036.3	-1.87770245334517
ENSG00000136636.13	-0.884420240402279
ENSG00000092978.11	-0.950825104343293
ENSG00000067533.6	-1.08306916164624
ENSG00000223375.1	-2.64375341907382
ENSG00000232480.4	-2.47347117603397
ENSG00000092969.12	-1.62578679347206
ENSG00000143353.12	-1.24405012805129
ENSG00000305505.1	-3.74392969639369
ENSG00000215817.9	-0.903606125404622
ENSG00000196660.12	-0.613053312204936
ENSG00000300928.1	-2.18007354927984
ENSG00000118873.17	-0.802554766542781
ENSG00000213033.4	-1.93747056668907
ENSG00000116141.17	-1.42565002691355
ENSG00000233012.3	-2.11908138417865
ENSG00000297208.1	-5.85922254691442
ENSG00000143507.18	-1.74610928129981
ENSG00000232679.4	-1.47601738321697
ENSG00000228437.5	-2.75178640037202
ENSG00000154309.9	-1.0531981809987
ENSG00000143514.18	-1.38141111511735
ENSG00000291068.2	-0.99954381865652
ENSG00000290989.2	-0.691500345493064
ENSG00000278467.1	-2.84109821273929
ENSG00000143756.12	-0.729649014082262
ENSG00000143748.18	-0.79580862257102
ENSG00000185842.16	-0.613800169031857
ENSG00000182827.9	-1.78589815814768
ENSG00000183814.16	-0.697663991211007
ENSG00000143801.18	-1.10807759597413
