ensembl_id	ensembl	log2FC	hgnc_symbol
ENSG00000101442	ENSG00000101442.10	-1.59236694034728	ACTR5
ENSG00000101546	ENSG00000101546.13	-1.54052444996399	RBFA
ENSG00000101574	ENSG00000101574.15	-1.54586323135875	METTL4
ENSG00000101624	ENSG00000101624.11	-1.1552983769765	CEP76
ENSG00000101665	ENSG00000101665.10	-1.39139025338177	SMAD7
ENSG00000101680	ENSG00000101680.16	-2.03006905504279	LAMA1
ENSG00000101745	ENSG00000101745.17	-1.11433691174511	ANKRD12
ENSG00000101751	ENSG00000101751.11	-1.17981188985596	POLI
ENSG00000101898	ENSG00000101898.8	-2.10317750977903	MCTS2
ENSG00000101928	ENSG00000101928.13	-1.91530060284579	MOSPD1
ENSG00000102003	ENSG00000102003.12	-1.03699816544245	SYP
ENSG00000102103	ENSG00000102103.18	-1.51047318991842	PQBP1
ENSG00000102178	ENSG00000102178.13	-1.15226354705416	UBL4A
